0,1,2,3,4,5,label
-0.03321712,-0.033925116,-0.017360346,-0.022973357,-0.023043923,-0.010917738,1
-0.032171935,-0.032615297,-0.01687637,-0.02244675,-0.022292461,-0.010577007,1
-0.031101912,-0.031569727,-0.01602656,-0.021789597,-0.021289736,-0.0101009505,1
-0.030263076,-0.030721806,-0.01577065,-0.021138705,-0.020888446,-0.010197382,1
-0.030357629,-0.030668432,-0.015678195,-0.021233829,-0.021008091,-0.010166386,1
-0.029122103,-0.02943591,-0.015080337,-0.020624256,-0.0203628,-0.009492532,1
-0.028548742,-0.028922312,-0.014788792,-0.019931525,-0.01991856,-0.0093102,1
-0.028805505,-0.028920313,-0.014821713,-0.02002866,-0.020011527,-0.00952169,1
-0.02874394,-0.02879758,-0.014772364,-0.019995838,-0.019920189,-0.0095263915,1
-0.02894378,-0.029077312,-0.0148657495,-0.020094428,-0.019917507,-0.009517237,1
-0.028704109,-0.028788839,-0.014598521,-0.02008582,-0.019857416,-0.009390706,1
-0.028508041,-0.028644124,-0.014438567,-0.01982485,-0.019662196,-0.009313678,1
-0.028585754,-0.028748237,-0.014331653,-0.019788548,-0.019596137,-0.009043604,1
-0.028520495,-0.028707633,-0.014338544,-0.019777864,-0.019599177,-0.0090364525,1
-0.028680775,-0.02885141,-0.014365977,-0.019866407,-0.019680362,-0.009054598,1
-0.028889874,-0.029084396,-0.014531129,-0.019976275,-0.019830663,-0.009163812,1
-0.029700257,-0.029825667,-0.015089511,-0.02041992,-0.020366369,-0.009714712,1
-0.030841941,-0.030922117,-0.015731947,-0.021237703,-0.02107274,-0.0101006515,1
-0.030316422,-0.03060912,-0.015637059,-0.020913748,-0.020763854,-0.010024631,1
-0.030919129,-0.031329993,-0.015995985,-0.021334339,-0.021265827,-0.010257239,1
-0.03269102,-0.033154648,-0.016892964,-0.02263125,-0.022471542,-0.010643862,1
-0.034542017,-0.03487452,-0.017967172,-0.023806775,-0.023663932,-0.011324749,1
-0.036366988,-0.036551636,-0.01922369,-0.025200076,-0.024907324,-0.012446556,1
-0.037816927,-0.037879717,-0.02003395,-0.026162446,-0.0256026,-0.012661081,1
-0.039329022,-0.039413556,-0.020436328,-0.026732914,-0.026444972,-0.012762298,1
-0.041064207,-0.04133934,-0.021542775,-0.028068751,-0.027688876,-0.01336466,1
-0.044379707,-0.044846863,-0.022942176,-0.030215934,-0.03013643,-0.01422621,1
-0.046978198,-0.04766424,-0.024222929,-0.031811986,-0.03188034,-0.015561167,1
-0.050296184,-0.050952967,-0.02611344,-0.034005027,-0.033933535,-0.016693283,1
-0.05278688,-0.05355321,-0.027193576,-0.035543233,-0.035028737,-0.01738587,1
-0.058506455,-0.05885561,-0.030772485,-0.039388068,-0.03923314,-0.01909688,1
-0.06458498,-0.0645118,-0.033610485,-0.043099437,-0.042560164,-0.021139048,1
-0.06703193,-0.06679567,-0.036254704,-0.044796117,-0.043718778,-0.023126652,1
